ts,motor_rpm,pressure_bar,axis1_torque,motor_temp,servo_current,servo_voltage,axis2_position,axis2_velocity,axis1_velocity,axis1_position
145,1527.246,5.271,65.808,65.183,6.333,48.022,76.484,44.209,282.108,43.997
146,1527.49,5.273,65.874,65.18,6.34,48.023,76.533,43.935,281.7,44.285
147,1527.612,5.275,65.955,65.184,6.348,48.022,76.566,43.653,281.231,44.552
148,1527.951,5.278,66.035,65.183,6.354,48.023,76.615,43.385,280.815,44.833
149,1528.073,5.28,66.108,65.187,6.362,48.024,76.668,43.116,280.361,45.119
150,1528.308,5.282,66.178,65.192,6.369,48.023,76.694,42.839,279.919,45.408
151,1528.435,5.283,66.255,65.189,6.375,48.025,76.75,42.558,279.449,45.682
152,1528.7,5.285,66.322,65.188,6.382,48.023,76.798,42.294,279.009,45.965
153,1528.771,5.287,66.394,65.196,6.39,48.025,76.826,42.023,278.547,46.234
154,1528.915,5.289,66.475,65.193,6.398,48.025,76.877,41.743,278.101,46.522
155,1529.205,5.29,66.542,65.195,6.407,48.025,76.91,41.478,277.637,46.789
156,1529.423,5.291,66.622,65.197,6.412,48.024,76.947,41.198,277.165,47.063
157,1529.526,5.294,66.676,65.198,6.42,48.024,76.995,40.935,276.707,47.353
158,1529.648,5.297,66.744,65.2,6.427,48.025,77.044,40.645,276.258,47.629
159,1529.983,5.298,66.818,65.2,6.435,48.025,77.086,40.378,275.754,47.906
160,1530.044,5.299,66.881,65.203,6.441,48.025,77.126,40.104,275.318,48.178
161,1530.359,5.302,66.948,65.2,6.446,48.025,77.163,39.828,274.833,48.457
162,1530.558,5.303,67.029,65.207,6.455,48.025,77.192,39.564,274.355,48.732
163,1530.761,5.305,67.082,65.204,6.461,48.025,77.236,39.286,273.875,48.997
164,1530.788,5.307,67.16,65.205,6.47,48.026,77.284,39.019,273.376,49.269
165,1530.977,5.309,67.207,65.207,6.473,48.027,77.318,38.741,272.886,49.538
166,1531.276,5.31,67.285,65.212,6.483,48.027,77.351,38.455,272.395,49.819
167,1531.463,5.311,67.337,65.208,6.487,48.025,77.394,38.188,271.918,50.098
168,1531.552,5.315,67.394,65.209,6.494,48.026,77.427,37.907,271.393,50.364
169,1531.703,5.317,67.461,65.216,6.501,48.027,77.477,37.64,270.918,50.633
170,1531.921,5.318,67.533,65.21,6.508,48.027,77.511,37.364,270.423,50.899
171,1532.145,5.32,67.591,65.214,6.515,48.027,77.536,37.088,269.914,51.166
172,1532.455,5.321,67.638,65.219,6.521,48.026,77.584,36.816,269.39,51.435
173,1532.462,5.324,67.701,65.217,6.529,48.028,77.623,36.524,268.887,51.712
174,1532.658,5.325,67.757,65.217,6.535,48.028,77.654,36.254,268.369,51.986
175,1532.823,5.328,67.822,65.219,6.542,48.028,77.691,35.982,267.884,52.244
176,1533.018,5.33,67.876,65.218,6.549,48.027,77.722,35.698,267.345,52.51
177,1533.252,5.331,67.928,65.226,6.555,48.028,77.762,35.419,266.848,52.79
178,1533.553,5.333,67.992,65.224,6.559,48.028,77.794,35.155,266.294,53.059
179,1533.761,5.334,68.046,65.223,6.565,48.028,77.837,34.884,265.778,53.325
180,1533.814,5.337,68.088,65.229,6.571,48.028,77.86,34.601,265.257,53.581
181,1533.989,5.338,68.148,65.228,6.578,48.028,77.898,34.331,264.73,53.857
182,1534.213,5.339,68.193,65.232,6.583,48.029,77.938,34.041,264.201,54.106
183,1534.358,5.342,68.264,65.234,6.592,48.029,77.959,33.777,263.66,54.377
184,1534.537,5.343,68.297,65.231,6.596,48.028,78.004,33.488,263.131,54.636
185,1534.868,5.346,68.345,65.234,6.603,48.029,78.032,33.205,262.572,54.909
186,1534.971,5.346,68.403,65.233,6.611,48.029,78.061,32.937,262.021,55.161
187,1535.178,5.35,68.458,65.232,6.616,48.029,78.11,32.669,261.503,55.426
188,1535.449,5.351,68.499,65.238,6.62,48.03,78.13,32.388,260.92,55.679
189,1535.616,5.353,68.542,65.236,6.626,48.029,78.161,32.111,260.386,55.951
190,1535.805,5.356,68.587,65.24,6.632,48.03,78.201,31.836,259.854,56.204
191,1535.933,5.357,68.649,65.243,6.64,48.029,78.224,31.558,259.264,56.458
192,1536.036,5.359,68.682,65.243,6.644,48.03,78.27,31.265,258.702,56.726
193,1536.274,5.361,68.733,65.246,6.648,48.03,78.291,30.998,258.161,56.985
194,1536.442,5.363,68.771,65.242,6.654,48.03,78.321,30.718,257.593,57.251
195,1536.689,5.363,68.818,65.247,6.661,48.03,78.355,30.442,257.046,57.494
196,1536.936,5.366,68.852,65.242,6.668,48.031,78.38,30.156,256.464,57.766
197,1537,5.367,68.91,65.251,6.672,48.032,78.423,29.876,255.907,58.018
198,1537.144,5.369,68.949,65.245,6.677,48.032,78.443,29.596,255.334,58.261
199,1537.393,5.372,68.979,65.25,6.684,48.031,78.481,29.329,254.732,58.533
200,1537.668,5.373,69.024,65.253,6.688,48.031,78.509,29.051,254.145,58.778
201,1537.814,5.375,69.062,65.25,6.695,48.032,78.535,28.769,253.594,59.039
202,1537.924,5.377,69.09,65.255,6.698,48.031,78.565,28.493,253.007,59.29
203,1538.092,5.379,69.134,65.259,6.706,48.032,78.593,28.204,252.424,59.535
204,1538.335,5.379,69.168,65.259,6.709,48.032,78.614,27.934,251.819,59.79
205,1538.487,5.382,69.197,65.256,6.714,48.033,78.642,27.637,251.221,60.051
206,1538.793,5.384,69.249,65.257,6.719,48.032,78.663,27.373,250.625,60.299
207,1538.844,5.386,69.277,65.26,6.724,48.033,78.694,27.096,250.058,60.543
208,1539.123,5.388,69.314,65.258,6.728,48.033,78.731,26.815,249.447,60.798
209,1539.198,5.389,69.333,65.26,6.733,48.033,78.75,26.536,248.821,61.038
210,1539.476,5.391,69.371,65.267,6.741,48.033,78.787,26.239,248.218,61.285
211,1539.594,5.393,69.412,65.269,6.743,48.033,78.799,25.972,247.636,61.534
212,1539.864,5.395,69.423,65.268,6.75,48.034,78.825,25.694,247.015,61.78
213,1540.048,5.397,69.465,65.265,6.754,48.033,78.852,25.399,246.408,62.024
214,1540.305,5.398,69.496,65.269,6.761,48.034,78.879,25.119,245.809,62.269
215,1540.31,5.401,69.526,65.268,6.765,48.033,78.906,24.845,245.166,62.514
216,1540.593,5.402,69.54,65.272,6.768,48.034,78.928,24.565,244.55,62.762
217,1540.763,5.405,69.566,65.271,6.775,48.034,78.956,24.295,243.925,63.007
218,1541.031,5.406,69.597,65.275,6.78,48.035,78.984,24.009,243.319,63.252
219,1541.15,5.407,69.614,65.276,6.782,48.035,79.005,23.725,242.71,63.5
220,1541.266,5.409,69.636,65.273,6.786,48.034,79.028,23.446,242.054,63.751
221,1541.578,5.411,69.673,65.282,6.792,48.035,79.041,23.172,241.443,63.99
222,1541.755,5.414,69.688,65.276,6.799,48.034,79.075,22.886,240.812,64.233
223,1541.868,5.415,69.712,65.282,6.802,48.035,79.101,22.594,240.167,64.467
224,1542.064,5.416,69.73,65.281,6.805,48.036,79.115,22.326,239.542,64.713
225,1542.327,5.419,69.763,65.28,6.808,48.035,79.136,22.032,238.869,64.946
226,1542.427,5.421,69.765,65.285,6.812,48.035,79.156,21.768,238.256,65.192
227,1542.716,5.422,69.783,65.286,6.819,48.035,79.189,21.472,237.602,65.431
228,1542.76,5.424,69.803,65.284,6.822,48.036,79.216,21.188,236.969,65.652
229,1543.036,5.427,69.824,65.288,6.827,48.036,79.222,20.916,236.31,65.9
230,1543.2,5.427,69.834,65.289,6.832,48.035,79.251,20.638,235.659,66.122
231,1543.354,5.429,69.854,65.289,6.836,48.036,79.274,20.355,235.014,66.373
232,1543.655,5.432,69.874,65.292,6.838,48.036,79.291,20.068,234.33,66.609
233,1543.745,5.432,69.895,65.29,6.841,48.037,79.309,19.79,233.672,66.842
234,1544.008,5.436,69.899,65.293,6.847,48.036,79.326,19.498,233.037,67.075
235,1544.135,5.437,69.914,65.297,6.851,48.036,79.347,19.222,232.382,67.307
236,1544.285,5.439,69.922,65.294,6.855,48.036,79.361,18.947,231.698,67.541
237,1544.543,5.441,69.94,65.3,6.857,48.038,79.378,18.67,231.048,67.77
238,1544.74,5.442,69.948,65.297,6.86,48.038,79.401,18.377,230.362,67.992
239,1544.953,5.444,69.951,65.302,6.864,48.037,79.418,18.104,229.681,68.224
240,1545.089,5.445,69.96,65.302,6.871,48.038,79.435,17.814,229.021,68.451
241,1545.265,5.447,69.968,65.305,6.87,48.037,79.464,17.539,228.329,68.687
242,1545.482,5.449,69.98,65.304,6.875,48.039,79.481,17.252,227.641,68.91
243,1545.55,5.451,69.982,65.307,6.878,48.038,79.497,16.964,226.995,69.13
244,1545.731,5.453,69.99,65.309,6.884,48.039,79.513,16.686,226.311,69.373
245,1545.919,5.454,69.996,65.308,6.886,48.038,79.521,16.393,225.619,69.587
246,1546.102,5.456,69.994,65.311,6.888,48.038,79.551,16.123,224.901,69.825
247,1546.355,5.458,70.005,65.308,6.894,48.039,79.558,15.842,224.213,70.041
248,1546.603,5.459,70.008,65.313,6.895,48.039,79.578,15.563,223.54,70.267
249,1546.788,5.461,69.991,65.31,6.899,48.038,79.582,15.265,222.831,70.482
250,1546.948,5.463,69.992,65.313,6.902,48.038,79.609,14.979,222.147,70.704
251,1547.039,5.465,69.998,65.313,6.905,48.04,79.625,14.707,221.427,70.931
252,1547.254,5.467,70.002,65.319,6.908,48.039,79.629,14.427,220.732,71.155
253,1547.389,5.468,69.989,65.318,6.912,48.039,79.647,14.141,220.023,71.368
254,1547.634,5.471,70.003,65.321,6.915,48.04,79.668,13.849,219.331,71.588
255,1547.793,5.472,69.981,65.32,6.917,48.04,79.68,13.565,218.628,71.815
256,1548.004,5.475,69.989,65.326,6.92,48.04,79.679,13.284,217.917,72.038
257,1548.326,5.476,69.987,65.323,6.922,48.041,79.698,13.006,217.219,72.243
258,1548.383,5.478,69.972,65.325,6.926,48.04,79.721,12.731,216.479,72.457
259,1548.575,5.479,69.964,65.323,6.93,48.04,79.719,12.444,215.769,72.686
260,1548.784,5.481,69.969,65.324,6.929,48.04,79.733,12.163,215.047,72.906
261,1548.922,5.484,69.945,65.331,6.932,48.04,79.756,11.884,214.355,73.115
262,1549.208,5.485,69.948,65.327,6.934,48.04,79.754,11.582,213.622,73.316
263,1549.257,5.487,69.932,65.33,6.938,48.041,79.785,11.299,212.888,73.532
264,1549.55,5.488,69.928,65.332,6.943,48.041,79.789,11.031,212.167,73.745
265,1549.76,5.49,69.915,65.334,6.942,48.042,79.79,10.747,211.416,73.959
266,1549.891,5.492,69.889,65.334,6.947,48.041,79.812,10.465,210.684,74.179
267,1550.015,5.493,69.878,65.338,6.946,48.043,79.827,10.182,209.957,74.389
268,1550.221,5.496,69.879,65.34,6.95,48.042,79.828,9.896,209.231,74.587
269,1550.529,5.497,69.854,65.335,6.952,48.041,79.847,9.597,208.516,74.8
270,1550.745,5.499,69.837,65.34,6.955,48.042,79.853,9.327,207.739,75.01
271,1550.781,5.501,69.832,65.337,6.958,48.042,79.86,9.038,207.004,75.228
272,1550.982,5.502,69.815,65.339,6.959,48.042,79.862,8.751,206.284,75.418
273,1551.2,5.505,69.79,65.341,6.961,48.042,79.866,8.477,205.527,75.633
274,1551.421,5.507,69.763,65.348,6.964,48.043,79.88,8.184,204.796,75.832
275,1551.615,5.508,69.753,65.343,6.963,48.044,79.887,7.901,204.02,76.037
276,1551.817,5.51,69.728,65.345,6.967,48.043,79.891,7.619,203.264,76.241
277,1552.017,5.512,69.715,65.348,6.97,48.042,79.909,7.336,202.534,76.449
278,1552.044,5.514,69.694,65.348,6.968,48.043,79.905,7.053,201.774,76.641
279,1552.306,5.515,69.659,65.348,6.97,48.043,79.923,6.769,201,76.847
280,1552.587,5.517,69.639,65.355,6.973,48.043,79.916,6.49,200.27,77.05
281,1552.65,5.519,69.622,65.354,6.974,48.043,79.928,6.209,199.483,77.249
282,1552.84,5.52,69.601,65.352,6.976,48.044,79.946,5.922,198.713,77.457
283,1552.967,5.521,69.57,65.353,6.98,48.045,79.938,5.626,197.964,77.657
284,1553.247,5.524,69.542,65.359,6.981,48.044,79.944,5.347,197.183,77.838
285,1553.48,5.526,69.518,65.359,6.982,48.046,79.963,5.053,196.426,78.038
286,1553.632,5.528,69.482,65.363,6.983,48.045,79.962,4.786,195.643,78.235
287,1553.822,5.529,69.463,65.363,6.985,48.046,79.968,4.492,194.864,78.429
288,1553.998,5.531,69.442,65.365,6.986,48.046,79.959,4.213,194.108,78.634
289,1554.264,5.533,69.396,65.366,6.985,48.045,79.979,3.922,193.313,78.823
290,1554.276,5.535,69.369,65.367,6.987,48.045,79.978,3.634,192.568,79.015
291,1554.464,5.536,69.341,65.364,6.989,48.045,79.977,3.356,191.754,79.205
292,1554.669,5.538,69.312,65.368,6.988,48.046,79.99,3.084,191.005,79.393
293,1554.854,5.539,69.281,65.37,6.99,48.045,79.981,2.793,190.193,79.586
294,1555.119,5.542,69.239,65.373,6.992,48.046,79.987,2.502,189.399,79.771
295,1555.279,5.543,69.205,65.368,6.994,48.046,79.993,2.226,188.631,79.966
296,1555.44,5.546,69.163,65.374,6.992,48.047,79.985,1.938,187.82,80.148
297,1555.714,5.547,69.139,65.37,6.995,48.048,79.997,1.661,187.037,80.351
298,1555.824,5.548,69.105,65.374,6.993,48.046,80.005,1.362,186.249,80.539
299,1555.995,5.551,69.069,65.373,6.997,48.046,80.006,1.089,185.46,80.711
300,1556.276,5.551,69.027,65.375,6.996,48.047,79.997,0.798,184.657,80.905
801,1644.604,6.267,31.024,66.001,3.454,48.125,47.247,-121.698,-254.751,58.517
802,1644.909,6.269,31.059,66.006,3.445,48.124,47.125,-121.865,-255.323,58.261
803,1644.946,6.27,31.106,66.006,3.442,48.125,46.998,-122.024,-255.877,58.007
804,1645.221,6.271,31.142,66.009,3.434,48.124,46.887,-122.186,-256.473,57.752
805,1645.314,6.272,31.18,66.009,3.427,48.125,46.748,-122.37,-257.022,57.496
806,1645.476,6.273,31.22,66.007,3.42,48.125,46.63,-122.532,-257.606,57.248
807,1645.725,6.273,31.265,66.013,3.413,48.126,46.517,-122.695,-258.176,56.978
808,1645.803,6.274,31.312,66.014,3.409,48.125,46.379,-122.855,-258.723,56.719
809,1646.051,6.276,31.367,66.012,3.404,48.125,46.263,-123.022,-259.29,56.462
810,1646.233,6.276,31.405,66.016,3.397,48.126,46.141,-123.184,-259.851,56.198
811,1646.37,6.278,31.458,66.02,3.391,48.125,46.022,-123.354,-260.392,55.941
812,1646.591,6.279,31.492,66.018,3.385,48.126,45.903,-123.521,-260.935,55.694
813,1646.749,6.279,31.539,66.021,3.38,48.126,45.772,-123.674,-261.468,55.434
814,1646.899,6.279,31.599,66.022,3.372,48.127,45.654,-123.838,-262.04,55.165
815,1646.919,6.281,31.651,66.025,3.366,48.126,45.522,-123.993,-262.588,54.902
816,1647.085,6.283,31.697,66.022,3.36,48.127,45.395,-124.168,-263.131,54.637
817,1647.268,6.284,31.754,66.024,3.356,48.126,45.266,-124.326,-263.636,54.374
818,1647.435,6.285,31.793,66.025,3.352,48.127,45.156,-124.493,-264.193,54.119
819,1647.618,6.286,31.858,66.026,3.343,48.128,45.03,-124.647,-264.717,53.852
820,1647.861,6.285,31.904,66.032,3.34,48.128,44.903,-124.81,-265.263,53.577
821,1648.057,6.288,31.958,66.026,3.333,48.128,44.774,-124.97,-265.77,53.321
822,1648.157,6.288,32.017,66.032,3.328,48.128,44.656,-125.114,-266.295,53.044
823,1648.232,6.289,32.073,66.035,3.32,48.128,44.526,-125.279,-266.828,52.791
824,1648.527,6.29,32.131,66.03,3.318,48.127,44.404,-125.429,-267.362,52.52
825,1648.549,6.291,32.183,66.034,3.31,48.128,44.268,-125.592,-267.857,52.254
826,1648.817,6.292,32.24,66.033,3.305,48.129,44.156,-125.759,-268.364,51.981
827,1648.928,6.294,32.303,66.04,3.301,48.128,44.017,-125.918,-268.886,51.714
828,1649.073,6.293,32.355,66.042,3.294,48.128,43.897,-126.057,-269.403,51.449
829,1649.283,6.295,32.422,66.042,3.29,48.128,43.783,-126.217,-269.926,51.182
830,1649.439,6.296,32.467,66.038,3.286,48.129,43.65,-126.384,-270.418,50.909
831,1649.535,6.296,32.527,66.04,3.282,48.129,43.517,-126.522,-270.918,50.634
832,1649.864,6.297,32.604,66.04,3.273,48.129,43.399,-126.694,-271.421,50.364
833,1649.972,6.299,32.667,66.047,3.269,48.129,43.274,-126.84,-271.904,50.096
834,1650.173,6.3,32.726,66.049,3.266,48.129,43.145,-127.002,-272.415,49.817
835,1650.25,6.301,32.782,66.05,3.26,48.129,43.011,-127.154,-272.903,49.546
836,1650.522,6.301,32.858,66.048,3.257,48.13,42.886,-127.295,-273.364,49.273
837,1650.621,6.302,32.924,66.049,3.249,48.13,42.757,-127.452,-273.856,49.002
838,1650.85,6.303,32.973,66.055,3.245,48.13,42.633,-127.596,-274.361,48.724
839,1650.895,6.304,33.042,66.05,3.24,48.131,42.511,-127.745,-274.827,48.458
840,1651.043,6.306,33.116,66.052,3.236,48.13,42.373,-127.901,-275.285,48.175
841,1651.214,6.306,33.172,66.056,3.231,48.13,42.251,-128.055,-275.777,47.894
842,1651.394,6.307,33.256,66.053,3.227,48.13,42.126,-128.212,-276.23,47.621
843,1651.486,6.307,33.324,66.061,3.22,48.132,41.994,-128.356,-276.718,47.343
844,1651.703,6.31,33.384,66.056,3.216,48.13,41.853,-128.494,-277.19,47.076
845,1651.968,6.311,33.45,66.063,3.212,48.132,41.743,-128.657,-277.633,46.791
846,1652.087,6.311,33.531,66.06,3.207,48.132,41.596,-128.8,-278.108,46.512
847,1652.323,6.311,33.601,66.058,3.202,48.132,41.478,-128.947,-278.56,46.234
848,1652.397,6.313,33.68,66.061,3.198,48.131,41.341,-129.088,-279.035,45.953
849,1652.572,6.314,33.741,66.066,3.195,48.133,41.21,-129.248,-279.483,45.684
850,1652.736,6.315,33.821,66.064,3.192,48.132,41.093,-129.384,-279.921,45.403
851,1652.862,6.315,33.897,66.071,3.187,48.131,40.957,-129.529,-280.362,45.118
852,1653.052,6.316,33.972,66.065,3.182,48.133,40.838,-129.678,-280.805,44.834
853,1653.126,6.318,34.034,66.069,3.178,48.132,40.696,-129.824,-281.232,44.549
854,1653.432,6.318,34.123,66.075,3.175,48.133,40.565,-129.961,-281.673,44.285
855,1653.488,6.319,34.195,66.073,3.169,48.133,40.434,-130.116,-282.135,44
856,1653.676,6.32,34.278,66.076,3.166,48.132,40.3,-130.258,-282.558,43.716
857,1653.874,6.32,34.349,66.078,3.163,48.133,40.179,-130.396,-282.99,43.424
858,1654.06,6.323,34.433,66.079,3.16,48.133,40.055,-130.543,-283.399,43.151
859,1654.123,6.323,34.502,66.075,3.152,48.133,39.911,-130.684,-283.857,42.856
860,1654.375,6.324,34.596,66.079,3.149,48.132,39.788,-130.833,-284.258,42.57
861,1654.56,6.324,34.673,66.084,3.145,48.133,39.656,-130.956,-284.695,42.301
862,1654.75,6.325,34.748,66.078,3.141,48.133,39.521,-131.104,-285.088,42.016
863,1654.719,6.326,34.825,66.083,3.137,48.134,39.395,-131.249,-285.514,41.731
864,1655,6.326,34.922,66.081,3.135,48.133,39.271,-131.391,-285.904,41.447
865,1655.202,6.327,34.991,66.084,3.131,48.134,39.139,-131.517,-286.338,41.155
866,1655.322,6.329,35.08,66.089,3.127,48.134,39,-131.657,-286.724,40.87
867,1655.453,6.329,35.157,66.086,3.125,48.134,38.864,-131.807,-287.138,40.586
868,1655.662,6.331,35.254,66.091,3.122,48.135,38.727,-131.937,-287.523,40.301
869,1655.802,6.332,35.33,66.086,3.119,48.136,38.612,-132.074,-287.927,39.994
870,1656.011,6.331,35.415,66.091,3.115,48.135,38.464,-132.207,-288.306,39.714
871,1656.173,6.333,35.505,66.094,3.109,48.135,38.332,-132.341,-288.731,39.43
872,1656.261,6.335,35.591,66.094,3.107,48.136,38.204,-132.493,-289.111,39.145
873,1656.506,6.335,35.68,66.098,3.105,48.135,38.078,-132.613,-289.496,38.844
874,1656.639,6.336,35.771,66.098,3.101,48.136,37.945,-132.75,-289.882,38.556
875,1656.824,6.337,35.858,66.097,3.097,48.136,37.819,-132.897,-290.259,38.277
876,1656.992,6.337,35.949,66.099,3.094,48.137,37.672,-133.029,-290.618,37.969
877,1657.008,6.339,36.046,66.097,3.09,48.135,37.551,-133.162,-290.994,37.678
878,1657.213,6.34,36.134,66.102,3.088,48.136,37.415,-133.296,-291.378,37.399
879,1657.485,6.34,36.21,66.104,3.088,48.136,37.28,-133.417,-291.748,37.111
880,1657.453,6.341,36.302,66.107,3.085,48.136,37.144,-133.558,-292.102,36.819
881,1657.629,6.341,36.392,66.105,3.08,48.136,37.017,-133.698,-292.471,36.519
882,1657.809,6.342,36.494,66.104,3.077,48.137,36.877,-133.814,-292.83,36.236
883,1658.068,6.343,36.59,66.105,3.076,48.137,36.742,-133.951,-293.174,35.93
884,1658.225,6.344,36.679,66.111,3.072,48.137,36.612,-134.079,-293.52,35.645
885,1658.365,6.346,36.77,66.106,3.07,48.137,36.478,-134.207,-293.888,35.351
886,1658.43,6.345,36.859,66.107,3.067,48.137,36.341,-134.349,-294.214,35.059
887,1658.589,6.347,36.967,66.113,3.062,48.138,36.206,-134.477,-294.585,34.768
888,1658.851,6.347,37.062,66.111,3.06,48.138,36.069,-134.607,-294.929,34.467
889,1659.023,6.348,37.149,66.116,3.057,48.137,35.935,-134.732,-295.231,34.174
890,1659.199,6.35,37.249,66.117,3.057,48.138,35.805,-134.85,-295.583,33.864
891,1659.376,6.351,37.354,66.117,3.054,48.138,35.675,-134.986,-295.926,33.579
892,1659.384,6.351,37.442,66.117,3.052,48.137,35.527,-135.115,-296.239,33.281
893,1659.651,6.353,37.545,66.12,3.048,48.138,35.39,-135.224,-296.592,32.989
894,1659.865,6.353,37.645,66.118,3.048,48.138,35.27,-135.35,-296.91,32.683
895,1660.018,6.353,37.743,66.123,3.044,48.139,35.133,-135.485,-297.209,32.39
896,1660.124,6.353,37.842,66.127,3.044,48.138,34.989,-135.614,-297.554,32.092
897,1660.273,6.356,37.946,66.122,3.042,48.14,34.859,-135.731,-297.841,31.803
898,1660.494,6.355,38.036,66.128,3.038,48.139,34.723,-135.863,-298.153,31.491
899,1660.522,6.356,38.142,66.124,3.036,48.139,34.578,-135.977,-298.486,31.192
900,1660.823,6.357,38.238,66.128,3.037,48.139,34.454,-136.111,-298.769,30.901
1501,1742.797,6.426,49.866,66.874,6.906,48.226,-50.79,-116.516,1.004,-99.996
1502,1742.955,6.426,49.746,66.873,6.909,48.227,-50.909,-116.334,1.983,-99.999
1503,1742.995,6.425,49.631,66.878,6.911,48.228,-51.022,-116.153,2.962,-100.002
1504,1743.082,6.425,49.488,66.881,6.914,48.228,-51.126,-115.967,3.955,-100.001
1505,1743.252,6.423,49.382,66.881,6.917,48.229,-51.25,-115.799,4.931,-99.993
1506,1743.322,6.423,49.245,66.881,6.919,48.229,-51.366,-115.622,5.91,-99.973
1507,1743.56,6.423,49.118,66.882,6.921,48.227,-51.48,-115.425,6.9,-99.971
1508,1743.663,6.422,48.997,66.885,6.925,48.229,-51.6,-115.255,7.915,-99.977
1509,1743.763,6.422,48.866,66.884,6.929,48.229,-51.702,-115.062,8.872,-99.954
1510,1743.841,6.42,48.749,66.889,6.933,48.228,-51.815,-114.885,9.869,-99.95
1511,1743.876,6.419,48.612,66.889,6.932,48.228,-51.939,-114.699,10.857,-99.934
1512,1744.034,6.418,48.496,66.891,6.934,48.228,-52.056,-114.513,11.857,-99.93
1513,1744.103,6.418,48.372,66.887,6.937,48.229,-52.158,-114.318,12.81,-99.922
1514,1744.245,6.419,48.234,66.887,6.943,48.229,-52.28,-114.148,13.833,-99.898
1515,1744.257,6.418,48.122,66.894,6.945,48.228,-52.399,-113.954,14.811,-99.879
1516,1744.428,6.417,47.986,66.895,6.945,48.23,-52.508,-113.768,15.794,-99.879
